                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.8312,                 3.4299,                  3.902,                0.08983,                0.05722,                0.02022,                0.00532,                 3.2984,                 3.2431,                 3.4912,                0.07019,              0.0033122,              0.0033122
                      1,                 3.0671,                 2.4417,                 3.1055,                 0.1994,                0.24512,                0.15419,                 0.0482,                  2.454,                 2.2369,                 2.6559,               0.039971,              0.0064263,              0.0064263
                      2,                 2.5542,                 1.8897,                 2.4966,                0.53287,                0.41016,                0.38203,                0.16134,                 2.2199,                 1.6052,                 2.1854,              0.0095313,              0.0093203,              0.0093203
                      3,                 2.2882,                 1.6317,                 2.1652,                0.66578,                 0.5117,                0.57298,                0.26243,                   1.88,                 1.7418,                 1.8507,                0.00901,                0.00901,                0.00901
                      4,                 2.0579,                 1.4202,                 1.9532,                0.74344,                0.57997,                0.68481,                0.32278,                 1.8267,                 1.2432,                 1.8195,                0.00901,                0.00901,                0.00901
                      5,                 1.8919,                 1.2541,                 1.8067,                 0.7115,                0.68951,                0.75261,                 0.4069,                 1.5416,                 1.0625,                 1.5876,                0.00868,                0.00868,                0.00868
                      6,                 1.7516,                 1.1388,                 1.7035,                0.82862,                0.67901,                0.78921,                0.41014,                 1.5915,                0.96621,                 1.5879,                0.00835,                0.00835,                0.00835
                      7,                 1.6535,                 1.0695,                 1.6112,                0.78016,                0.74317,                0.77753,                0.43267,                 1.4385,                0.92735,                 1.4683,                0.00802,                0.00802,                0.00802
                      8,                 1.5779,                 1.0103,                 1.5452,                0.82533,                0.71274,                0.81362,                 0.4448,                 1.4576,                0.88009,                 1.4503,                0.00769,                0.00769,                0.00769
                      9,                 1.5053,                0.96394,                 1.5076,                0.83267,                0.73797,                0.83975,                0.49481,                 1.2747,                 0.7918,                 1.3271,                0.00736,                0.00736,                0.00736
                     10,                 1.4519,                0.91346,                  1.446,                0.80126,                0.74122,                0.83542,                0.50631,                 1.2453,                0.77455,                 1.3216,                0.00703,                0.00703,                0.00703
                     11,                 1.3942,                0.87849,                 1.4082,                 0.8565,                0.75098,                0.85926,                0.52528,                 1.1865,                 0.7317,                 1.2674,                 0.0067,                 0.0067,                 0.0067
                     12,                 1.3539,                0.84801,                 1.3797,                0.83562,                0.78003,                 0.8594,                0.52596,                 1.1741,                0.71811,                 1.2429,                0.00637,                0.00637,                0.00637
                     13,                 1.3104,                0.82358,                 1.3507,                0.81112,                0.79649,                0.86334,                0.54679,                 1.1076,                0.73358,                 1.2055,                0.00604,                0.00604,                0.00604
                     14,                 1.2763,                0.80073,                 1.3235,                0.81899,                0.77503,                 0.8734,                0.55738,                 1.0885,                0.69438,                 1.1844,                0.00571,                0.00571,                0.00571
                     15,                 1.2485,                0.79012,                 1.3009,                0.83182,                0.80624,                0.87898,                0.56471,                 1.0798,                0.67571,                 1.1912,                0.00538,                0.00538,                0.00538
                     16,                 1.2184,                0.76823,                 1.2905,                0.82694,                0.78917,                0.88169,                0.58161,                  1.017,                0.66657,                 1.1462,                0.00505,                0.00505,                0.00505
                     17,                 1.1897,                0.75245,                 1.2735,                 0.8176,                 0.8238,                0.87991,                 0.5896,                0.97768,                0.64728,                 1.1289,                0.00472,                0.00472,                0.00472
                     18,                  1.168,                0.73238,                 1.2548,                0.83416,                0.79584,                0.87395,                0.58475,                 1.0099,                0.63881,                  1.146,                0.00439,                0.00439,                0.00439
                     19,                 1.1478,                0.72449,                   1.24,                0.82256,                0.84092,                0.89357,                0.59598,                0.98998,                0.63077,                 1.1312,                0.00406,                0.00406,                0.00406
                     20,                 1.1284,                0.71204,                 1.2255,                0.87852,                0.78283,                 0.8794,                0.59662,                0.96463,                0.62919,                 1.1198,                0.00373,                0.00373,                0.00373
                     21,                 1.1147,                0.69521,                 1.2211,                0.86667,                0.77763,                 0.8912,                0.61669,                0.92692,                0.60042,                 1.1022,                 0.0034,                 0.0034,                 0.0034
                     22,                 1.0919,                0.69249,                 1.2075,                0.85796,                0.82445,                0.89761,                0.61908,                0.93164,                0.59787,                 1.0958,                0.00307,                0.00307,                0.00307
                     23,                 1.0829,                0.67937,                 1.1971,                0.83801,                0.83415,                0.89823,                0.63069,                0.91369,                0.58382,                 1.0914,                0.00274,                0.00274,                0.00274
                     24,                 1.0639,                0.67771,                 1.1898,                0.87002,                0.80511,                0.89792,                0.63246,                 0.8959,                0.56966,                 1.0825,                0.00241,                0.00241,                0.00241
                     25,                  1.041,                0.66189,                 1.1706,                0.81695,                 0.8472,                0.89346,                0.62376,                0.90203,                0.58456,                 1.0827,                0.00208,                0.00208,                0.00208
                     26,                 1.0248,                0.64661,                 1.1689,                0.86323,                0.81534,                0.89924,                0.63751,                0.86764,                0.56264,                 1.0661,                0.00175,                0.00175,                0.00175
                     27,                 1.0174,                0.64186,                 1.1596,                0.85819,                 0.8355,                0.89545,                0.64381,                0.85897,                0.55898,                 1.0617,                0.00142,                0.00142,                0.00142
                     28,                0.99011,                0.63359,                 1.1497,                0.86478,                0.84135,                0.90303,                0.64216,                0.85463,                0.56184,                  1.058,                0.00109,                0.00109,                0.00109
                     29,                0.98283,                0.63102,                 1.1465,                0.84277,                0.83293,                0.89561,                0.64237,                0.85042,                0.55178,                 1.0556,                0.00076,                0.00076,                0.00076
